page_name,prob_lang
List of suicides in fiction,1
List of suicides in the 21st century,1
List of suicides that have been attributed to bullying,1
List of terrorist incidents in 2006,1
List of terrorist incidents in 2008,1
List of terrorist incidents in 2009,1
List of terrorist incidents in 2010,1
List of terrorist incidents in December 2015,1
List of terrorist incidents in January–June 2011,1
List of terrorist incidents in January–June 2013,1
List of terrorist incidents in October 2015,1
"List of violent incidents in the Israeli–Palestinian conflict, 2001",1
"List of violent incidents in the Israeli–Palestinian conflict, 2003",1
Live Baby Live,1
Loitering munition,1
Lori Erica Ruff,1
Love on a Diet,1
Lucky Jim,1
Mahasin mosque attack,1
Mahmoud Zuabi,1
Malaboch War,1
Man's Fate,1
Manslaughter,1
Marguerite Crouzet,1
Martyrdom video,1
Masataka Ida,1
Mass suicide,1
Mass suicide in Demmin,1
Massachusetts Death with Dignity Initiative,1
"Massachusetts ballot measures, 2012",1
Maury Travis,1
May 2017 Kabul attack,1
Medical aid in dying in the United States,1
Michael O'Brien (Fianna Fáil politician),1
Mike's Place suicide bombing,1
Mindy McCready,1
Mitsuyasu Maeno,1
Mockingbird (Tevis novel),1
Mohamed Oufkir,1
Mohammad Daleel,1
Morgan Clark,1
Mount Mihara,1
Muluemebet Girma,1
Murder House (American Horror Story),1
Murder of Elli Perkins,1
Murder–suicide,1
Muriel Degauque,1
Mytchett,1
Najibullah (militant leader),1
National Firearms Agreement,1
Nelly Arcan,1
Night Train (novel),1
Nightshade (DC Comics),1
Nikolai Erdman,1
"Norman ""Dinky"" Diamond",1
Notre Dame Cathedral bombing attempt,1
Numantine War,1
October 2013 Volgograd bus bombing,1
October 2016 Baghdad attacks,1
Odysseas Angelis,1
Omar Khyam,1
One More Pallbearer,1
Onslaught (DC Comics),1
Open verdict,1
Operation Ghazi,1
Operation Mountain Fury,1
Oregon Ballot Measure 16 (1994),1
Ossie Abeygunasekera,1
PAF Base Mushaf,1
Palestinian political violence,1
Paradise Now,1
Paramount Vantage,1
Peg Entwistle,1
Petri Walli,1
Philip Nitschke,1
Pierre Drieu La Rochelle,1
Pierre François Lacenaire,1
Pierre Quinon,1
Pietro della Vigna,1
Pilgrim (Timothy Findley novel),1
Political suicide,1
Poor Poor Pitiful Me,1
Prince Edward Viaduct,1
Prisoner suicide,1
Punch and Jewelee,1
Punnagai Mannan,1
Qatif and Dammam mosque bombings,1
R (Nicklinson) v Ministry of Justice,1
Radiant Office,1
Radici,1
Ramadan Offensive (2003),1
Rashaan Salaam,1
Ray Combs,1
Religious views on suicide,1
Ricardo López (stalker),1
Richard Corts,1
Rikard Wolff,1
Robert Baer,1
Robert Pape,1
Roh Moo-hyun,1
Roses in the Hospital,1
Rudolf Christoph Freiherr von Gersdorff,1
Sabbath's Theater,1
Sajida Al-Rishawi,1
Salafia Jihadia,1
Samuel Byck,1
Samuel Israel III,1
Sand Chronicles,1
Savant (DC Comics),1
Savoy Hotel attack,1
Sawsan Al Sha'er,1
Sawyer Sweeten,1
Second Intifada,1
Sectarian violence in Iraq (2006–08),1
Self-immolation,1
Senicide,1
Seppuku,1
September (1987 film),1
September 15 2006 Yemen attacks,1
Sergei Mezheninov,1
Setting up to fail,1
Sexuality of Adolf Hitler,1
She Died a Lady,1
Sheila White (abolitionist),1
Shijaku Katsura II,1
Shinbone Alley (film),1
Sidney Sheldon's The Tides of Memory,1
Siege of Odani Castle,1
Simon Strousse Baker,1
Skin o' My Teeth,1
Skin of my teeth,1
Sleez,1
